Code,Location,Latitude,Longitude
PB,Phillips Bay,69.17,-138.30
SP,Shingle Point,69.58,-137.37
TP,Tolken Point,NA,NA
DH,Dundas Harbor,74.52,-82.38
GA,Garrow Lake,75.03,-96.08
GB,Great Bear Lake,66,-121
AL,Alexie Lake,62.67,-114.1
GS,Great Slave Lake,61.67,-114
UW,Upper Waterton,49,-113.9
RD,Reindeer Lake,57.3,-102.37
AT,Lake Athapapuskow,54.57,-101.67
SC,Second Cranberry Lake,54.65,-101.17
CW,Clearwater Lake,54.06,-101.1
GE,George Lake,51.25,-95.47
WH,Westhawk,49.75,-95.46
EL,Lake 259 (ELA),49.68,-93.78
TE,Teggau (ELA),49.72,-93.63
EA,Eagle Lake,49.76,-93.6
SG,Saganaga Lake,48.23,-90.93
BU,Burchell Lake,48.58,-90.62
NI,Lake Nipigon,49.83,-88.5
SU,Lake Superior,47.61,-87.03
HU,Lake Huron,44.88,-82.36
FB,Fairbank Lake,46.47,-81.43
ER,Lake Erie,42.2,-81.2
RE,Lake Restoule,46,-80
SK,Skeleton Lake,45.25,-79.45
ON,Lake Ontario,43.7,-77.9
TO,Thirty-one mile,46.2,-75.81
RO,Roddick Lake,46.24,-75.8
