Wavelength_nm,SculpinRh1-S3,CiscoRh1-C1,SculpinRh1-S1,CiscoRh1-C3,CiscoRh1-C2
650,0.000518963,0.001523978,0.001665952,0.000641643,0.001566008
649,0.000562899,0.001652984,0.001806878,0.000696019,0.001698546
648,0.000610655,0.001793056,0.001959866,0.000755117,0.001842446
647,0.000662569,0.001945141,0.002125943,0.000819354,0.001998677
646,0.000719009,0.002110262,0.002306218,0.000889182,0.00216829
645,0.000780374,0.002289526,0.00250189,0.000965092,0.002352418
644,0.0008471,0.002484132,0.002714257,0.001047621,0.00255229
643,0.000919662,0.002695374,0.002944719,0.001137351,0.002769231
642,0.000998576,0.002924651,0.003194787,0.001234913,0.003004674
641,0.001084402,0.003173472,0.003466091,0.001340994,0.003260165
640,0.001177752,0.003443467,0.003760387,0.001456343,0.00353737
639,0.001279288,0.00373639,0.004079565,0.001581768,0.003838085
638,0.001389732,0.004054131,0.004425661,0.001718151,0.004164244
637,0.001509867,0.004398724,0.00480086,0.001866445,0.004517924
636,0.001640545,0.004772355,0.005207508,0.002027687,0.004901362
635,0.001782689,0.005177371,0.005648123,0.002202998,0.005316954
634,0.001937302,0.005616291,0.0061254,0.002393594,0.005767272
633,0.002105471,0.006091812,0.006642224,0.002600793,0.006255071
632,0.002288376,0.006606821,0.007201676,0.002826018,0.006783296
631,0.002487294,0.007164404,0.007807044,0.00307081,0.007355092
630,0.002703608,0.007767853,0.008461832,0.003336834,0.007973818
629,0.002938815,0.008420677,0.009169768,0.003625887,0.008643047
628,0.003194535,0.00912661,0.009934809,0.003939907,0.009366582
627,0.003472515,0.00988962,0.010761153,0.004280985,0.010148459
626,0.003774644,0.010713913,0.011653241,0.004651371,0.010992958
625,0.004102961,0.011603942,0.012615768,0.005053485,0.011904603
624,0.004459659,0.012564413,0.013653678,0.00548993,0.012888175
623,0.004847104,0.013600288,0.014772178,0.005963495,0.013948708
622,0.005267837,0.014716788,0.015976728,0.006477174,0.015091499
621,0.00572459,0.015919395,0.017273051,0.007034172,0.016322103
620,0.006220293,0.01721385,0.018667124,0.007637912,0.017646335
619,0.006758088,0.018606155,0.020165174,0.008292052,0.019070264
618,0.007341336,0.020102563,0.021773675,0.009000488,0.020600214
617,0.007973628,0.021709575,0.023499336,0.009767367,0.022242751
616,0.008658797,0.023433932,0.025349089,0.010597094,0.024004675
615,0.009400926,0.025282598,0.027330078,0.011494339,0.025893008
614,0.010204357,0.027262753,0.029449639,0.012464045,0.02791498
613,0.011073699,0.02938177,0.031715281,0.013511429,0.030078008
612,0.012013836,0.031647201,0.034134667,0.014641991,0.032389679
611,0.013029931,0.034066748,0.036715585,0.015861513,0.034857727
610,0.014127432,0.036648245,0.039465923,0.01717606,0.037490005
609,0.015312076,0.039399627,0.042393641,0.018591975,0.040294458
608,0.016589886,0.0423289,0.045506738,0.020115881,0.043279094
607,0.017967175,0.045444113,0.048813219,0.021754666,0.046451954
606,0.019450538,0.048753321,0.052321062,0.02351548,0.049821071
605,0.02104685,0.052264554,0.056038182,0.025405719,0.053394445
604,0.022763254,0.055985778,0.059972396,0.02743301,0.057179999
603,0.024607153,0.059924859,0.064131387,0.029605192,0.061185549
602,0.026586191,0.064089533,0.068522669,0.031930299,0.065418765
601,0.028708239,0.068487361,0.073153548,0.034416527,0.069887134
600,0.030981376,0.073125701,0.078031098,0.037072214,0.074597929
599,0.033413858,0.07801167,0.083162119,0.039905807,0.079558176
598,0.036014098,0.083152114,0.088553113,0.042925827,0.084774616
597,0.038790632,0.088553577,0.094210255,0.046140838,0.090253684
596,0.04175209,0.094222274,0.100139369,0.049559408,0.096001477
595,0.044907157,0.100164063,0.106345903,0.053190067,0.102023729
594,0.048264538,0.106384425,0.11283491,0.057041274,0.108325793
593,0.051832917,0.112888442,0.119611033,0.061121372,0.114912616
592,0.055620919,0.119680781,0.126678488,0.065438547,0.121788728
591,0.059637067,0.126765678,0.134041051,0.070000791,0.128958226
590,0.063889741,0.134146926,0.141702052,0.074815862,0.136424761
589,0.068387136,0.141827865,0.149664363,0.079891245,0.144191531
588,0.073137222,0.149811373,0.157930391,0.085234116,0.152261269
587,0.078147704,0.158099861,0.166502075,0.090851313,0.160636241
586,0.083425986,0.166695264,0.175380875,0.096749297,0.169318239
585,0.088979131,0.175599036,0.184567775,0.102934133,0.17830857
584,0.094813835,0.184812146,0.194063269,0.109411459,0.187608061
583,0.10093639,0.194335073,0.203867357,0.116186465,0.197217042
582,0.107352664,0.204167795,0.21397954,0.123263877,0.207135346
581,0.114068072,0.214309784,0.224398805,0.13064794,0.217362299
580,0.121087557,0.224759997,0.235123619,0.138342403,0.227896706
579,0.128415575,0.235516862,0.246151908,0.14635051,0.238736845
578,0.136056077,0.246578266,0.257481051,0.15467499,0.249880447
577,0.144012499,0.257941538,0.269107853,0.163318054,0.261324681
576,0.152287754,0.269603429,0.281028526,0.172281383,0.273066138
575,0.16088422,0.281560096,0.29323867,0.181566123,0.285100804
574,0.169803737,0.293807072,0.305733245,0.191172883,0.29742404
573,0.179047599,0.306339247,0.318506543,0.201101727,0.310030555
572,0.188616548,0.319150837,0.331552164,0.211352162,0.322914379
571,0.19851077,0.33223536,0.344862982,0.221923136,0.336068835
570,0.208729885,0.345585601,0.358431122,0.232813023,0.349486508
569,0.219272941,0.359193587,0.372247924,0.244019607,0.363159218
568,0.2301384,0.373050557,0.386303918,0.255540074,0.377077989
567,0.241324129,0.387146932,0.400588798,0.267370987,0.391233023
566,0.252827383,0.40147229,0.415091397,0.279508266,0.405613669
565,0.264644789,0.416015339,0.42979966,0.29194717,0.420208406
564,0.276772323,0.430763898,0.444700636,0.304682265,0.435004816
563,0.289205289,0.445704875,0.459780453,0.3177074,0.449989571
562,0.301938295,0.460824258,0.475024318,0.331015677,0.465148419
561,0.314965224,0.476107105,0.490416508,0.34459942,0.48046618
560,0.328279204,0.491537539,0.505940377,0.358450148,0.495926739
559,0.341872582,0.507098754,0.521578364,0.372558538,0.511513059
558,0.355736888,0.522773026,0.537312013,0.386914401,0.527207189
557,0.369862807,0.538541732,0.553121995,0.40150665,0.542990287
556,0.384240148,0.554385373,0.568988147,0.416323276,0.558842648
555,0.398857814,0.570283613,0.584889506,0.431351325,0.574743739
554,0.41370378,0.586215319,0.600804369,0.44657688,0.590672247
553,0.428765062,0.602158613,0.616710343,0.461985046,0.606606131
552,0.444027704,0.618090933,0.632584417,0.47755994,0.622522685
551,0.459476759,0.633989099,0.648403035,0.493284695,0.638398609
550,0.475096283,0.649829392,0.664142181,0.509141459,0.654210082
549,0.49086933,0.665587636,0.679777461,0.525111414,0.669932854
548,0.506777957,0.681239287,0.695284207,0.54117479,0.685542336
547,0.522803238,0.69675953,0.710637571,0.557310902,0.701013693
546,0.538925279,0.712123384,0.725812635,0.573498186,0.716321953
545,0.555123256,0.727305805,0.740784513,0.589714248,0.731442113
544,0.571375447,0.742281795,0.755528467,0.605935919,0.746349243
543,0.58765928,0.757026516,0.770020019,0.622139327,0.761018606
542,0.603951395,0.7715154,0.784235056,0.638299968,0.775425766
541,0.620227707,0.785724264,0.798149948,0.654392792,0.789546698
540,0.636463485,0.799629419,0.811741652,0.670392296,0.803357903
539,0.652633433,0.813207781,0.824987817,0.686272623,0.816836513
538,0.668711789,0.826436971,0.837866882,0.702007669,0.82996039
537,0.684672419,0.839295419,0.850358173,0.717571192,0.842708233
536,0.700488929,0.851762456,0.862441986,0.732936929,0.855059661
535,0.716134777,0.863818401,0.87409967,0.748078719,0.866995302
534,0.731583391,0.875444638,0.885313692,0.762970618,0.878496866
