Wavelength_nm,SculpinRh1-S3,CiscoRh1-C1,SculpinRh1-S1,CiscoRh1-C3,CiscoRh1-C2
650,0.0120819,0.05742017,0.04067757,0.07244858,0.03290319
649,0.01541554,0.03385544,0.04636083,0.08063549,0.01694344
648,0.01156603,0.02701854,0.04079195,0.07147884,0.00849282
647,0,0.02074903,0.04418081,0.07962447,0.01393295
646,0.02145144,0.06656881,0.03694004,0.05011641,0.02206096
645,0.01993361,0.04819812,0.03944905,0.0493504,0.02875945
644,0.00635691,0.05280598,0.04373208,0.05850482,0.01230219
643,0.01529308,0.04386166,0.03792757,0.0349186,0.02082614
642,0.01647046,0.04320906,0.02407596,0.00519862,0.005991
641,0.01042358,0.02179029,0.04591482,0.0678433,0.01599922
640,0.02185414,0.02313262,0.04523235,0.04972267,0.00840606
639,0.03414397,0.04457437,0.03814256,0.02811154,0.00811236
638,0.00933037,0.03445304,0.04125519,0.02890195,0.00462983
637,0.01462427,0.04658787,0.02511417,0,0.00458451
636,0.03124356,0.04740108,0.04651991,0.04245001,0
635,0.03888572,0.06179219,0.04743979,0.05080382,0.0003551
634,0.02169557,0.0374457,0.05144363,0.073809,0.0063661
633,0.02177607,0.03869048,0.0454441,0.05600729,0.01639201
632,0.03703263,0.06240361,0.03944999,0.07032004,0.00909923
631,0.03201265,0.06890572,0.03305715,0.05799359,0.01123198
630,0.03002571,0.05146883,0.04101986,0.09137758,0.02188142
629,0.0423278,0.05788443,0.02914955,0.04777429,0.00239514
628,0.03722571,0.06807899,0.02374188,0.05573259,0.00725233
627,0.01550137,0.04508019,0.02150443,0.04336131,0.02235018
626,0.03492314,0.02576426,0.02233754,0.059795,0.02334333
625,0.02421193,0.00334237,0.01415744,0.02994569,0.01971778
624,0.03188753,0.02311953,0.01345254,0.01181223,0.03531734
623,0.0324889,0.03242389,0.01292726,0.0069982,0.0313488
622,0.03265242,0.02120157,0.02857009,0.03504554,0.01589524
621,0.02231892,0.00949331,0.01060947,0.03483741,0.02925061
620,0.03263646,0.00771846,0.01339651,0.03282154,0.03166687
619,0.02042865,0,0.00110579,0.02188081,0.03315991
618,0.04382636,0.04626358,0.00950113,0.04116726,0.03236096
617,0.04344287,0.03490805,0.0128978,0.04630464,0.03154574
616,0.05649635,0.04249253,0.01152591,0.03500339,0.0242607
615,0.04372027,0.03166276,0,0.02862234,0.02648981
614,0.02422919,0.01857529,0.01966767,0.08791143,0.03159058
613,0.04037963,0.03467221,0.01255471,0.02938095,0.03346188
612,0.04846202,0.04694939,0.02943397,0.04808978,0.03589831
611,0.04161371,0.03972842,0.05124406,0.10586423,0.04319899
610,0.05729473,0.05537158,0.05470092,0.08729994,0.04245175
609,0.03197348,0.03590463,0.05129616,0.06034872,0.04686209
608,0.04133435,0.06783194,0.05552979,0.06086692,0.05844889
607,0.03162006,0.06747328,0.06260985,0.04138063,0.05716779
606,0.04466363,0.10273319,0.07858221,0.03599753,0.06500178
605,0.0607548,0.13597641,0.0906009,0.03624778,0.06836093
604,0.04819989,0.13384383,0.09721807,0.05197106,0.07320126
603,0.04015239,0.14563156,0.10677443,0.0561352,0.0697524
602,0.0376686,0.13590155,0.11304862,0.07227601,0.07181535
601,0.0401785,0.14122699,0.12515555,0.08049015,0.07972593
600,0.07029154,0.17004475,0.13775576,0.08119783,0.08730972
599,0.06898618,0.17255241,0.14646536,0.09591059,0.07944519
598,0.06494769,0.18073402,0.14626105,0.05671154,0.09619861
597,0.06042807,0.17917341,0.14625043,0.06266161,0.10381702
596,0.05422329,0.17841208,0.15733211,0.09177887,0.10799627
595,0.05497551,0.17040582,0.16945535,0.15166951,0.10836843
