"Sample","Sequence","Reads","Location"
"BPLRHO01","Coregonus_artedi_1",391,"LF1"
"BPLRHO02","Coregonus_artedi_1",1856,"LF2"
"BPLRHO03","Coregonus_artedi_1",1264,"LF3"
"BPLRHO04","Coregonus_artedi_1",2521,"SW1"
"BPLRHO05","Coregonus_artedi_1",2693,"SW2"
"BPLRHO06","Coregonus_artedi_1",986,"DW1"
"BPLRHO07","Coregonus_artedi_1",1265,"DW2"
"BPLRHO08","Coregonus_artedi_1",987,"DW3"
"BPLRHO09","Coregonus_artedi_1",393,"LF1"
"BPLRHO10","Coregonus_artedi_1",1234,"LF2"
"BPLRHO11","Coregonus_artedi_1",1070,"LF3"
"BPLRHO12","Coregonus_artedi_1",5147,"SW1"
"BPLRHO13","Coregonus_artedi_1",2444,"SW2"
"BPLRHO14","Coregonus_artedi_1",2354,"DW1"
"BPLRHO15","Coregonus_artedi_1",1464,"DW2"
"BPLRHO16","Coregonus_artedi_1",855,"DW3"
"BPLRHO17","Coregonus_artedi_1",653,"LF1"
"BPLRHO18","Coregonus_artedi_1",1245,"LF2"
"BPLRHO19","Coregonus_artedi_1",1411,"LF3"
"BPLRHO20","Coregonus_artedi_1",3148,"SW1"
"BPLRHO21","Coregonus_artedi_1",2925,"SW2"
"BPLRHO22","Coregonus_artedi_1",1032,"DW1"
"BPLRHO23","Coregonus_artedi_1",1553,"DW2"
"BPLRHO24","Coregonus_artedi_1",962,"DW3"
"BPLRHO25","Coregonus_artedi_1",0,"NTC"
"BPLRHO26","Coregonus_artedi_1",0,"NTC"
"BPLRHO27","Coregonus_artedi_1",0,"NTC"
"BPLRHO01","Coregonus_clupeiformis",965,"LF1"
"BPLRHO02","Coregonus_clupeiformis",882,"LF2"
"BPLRHO03","Coregonus_clupeiformis",474,"LF3"
"BPLRHO04","Coregonus_clupeiformis",0,"SW1"
"BPLRHO05","Coregonus_clupeiformis",0,"SW2"
"BPLRHO06","Coregonus_clupeiformis",0,"DW1"
"BPLRHO07","Coregonus_clupeiformis",0,"DW2"
"BPLRHO08","Coregonus_clupeiformis",0,"DW3"
"BPLRHO09","Coregonus_clupeiformis",987,"LF1"
"BPLRHO10","Coregonus_clupeiformis",583,"LF2"
"BPLRHO11","Coregonus_clupeiformis",316,"LF3"
"BPLRHO12","Coregonus_clupeiformis",0,"SW1"
"BPLRHO13","Coregonus_clupeiformis",0,"SW2"
"BPLRHO14","Coregonus_clupeiformis",0,"DW1"
"BPLRHO15","Coregonus_clupeiformis",0,"DW2"
"BPLRHO16","Coregonus_clupeiformis",0,"DW3"
"BPLRHO17","Coregonus_clupeiformis",1598,"LF1"
"BPLRHO18","Coregonus_clupeiformis",657,"LF2"
"BPLRHO19","Coregonus_clupeiformis",501,"LF3"
"BPLRHO20","Coregonus_clupeiformis",0,"SW1"
"BPLRHO21","Coregonus_clupeiformis",0,"SW2"
"BPLRHO22","Coregonus_clupeiformis",0,"DW1"
"BPLRHO23","Coregonus_clupeiformis",0,"DW2"
"BPLRHO24","Coregonus_clupeiformis",0,"DW3"
"BPLRHO25","Coregonus_clupeiformis",0,"NTC"
"BPLRHO26","Coregonus_clupeiformis",0,"NTC"
"BPLRHO27","Coregonus_clupeiformis",0,"NTC"
"BPLRHO01","Coregonus_artedi_2",0,"LF1"
"BPLRHO02","Coregonus_artedi_2",38,"LF2"
"BPLRHO03","Coregonus_artedi_2",85,"LF3"
"BPLRHO04","Coregonus_artedi_2",63,"SW1"
"BPLRHO05","Coregonus_artedi_2",158,"SW2"
"BPLRHO06","Coregonus_artedi_2",485,"DW1"
"BPLRHO07","Coregonus_artedi_2",509,"DW2"
"BPLRHO08","Coregonus_artedi_2",312,"DW3"
"BPLRHO09","Coregonus_artedi_2",0,"LF1"
"BPLRHO10","Coregonus_artedi_2",26,"LF2"
"BPLRHO11","Coregonus_artedi_2",82,"LF3"
"BPLRHO12","Coregonus_artedi_2",91,"SW1"
"BPLRHO13","Coregonus_artedi_2",111,"SW2"
"BPLRHO14","Coregonus_artedi_2",984,"DW1"
"BPLRHO15","Coregonus_artedi_2",631,"DW2"
"BPLRHO16","Coregonus_artedi_2",243,"DW3"
"BPLRHO17","Coregonus_artedi_2",1,"LF1"
"BPLRHO18","Coregonus_artedi_2",21,"LF2"
"BPLRHO19","Coregonus_artedi_2",117,"LF3"
"BPLRHO20","Coregonus_artedi_2",68,"SW1"
"BPLRHO21","Coregonus_artedi_2",139,"SW2"
"BPLRHO22","Coregonus_artedi_2",494,"DW1"
"BPLRHO23","Coregonus_artedi_2",671,"DW2"
"BPLRHO24","Coregonus_artedi_2",356,"DW3"
"BPLRHO25","Coregonus_artedi_2",0,"NTC"
"BPLRHO26","Coregonus_artedi_2",0,"NTC"
"BPLRHO27","Coregonus_artedi_2",0,"NTC"
"BPLRHO01","Coregonus_clupeiformis",103,"LF1"
"BPLRHO02","Coregonus_clupeiformis",103,"LF2"
"BPLRHO03","Coregonus_clupeiformis",47,"LF3"
"BPLRHO04","Coregonus_clupeiformis",0,"SW1"
"BPLRHO05","Coregonus_clupeiformis",0,"SW2"
"BPLRHO06","Coregonus_clupeiformis",0,"DW1"
"BPLRHO07","Coregonus_clupeiformis",0,"DW2"
"BPLRHO08","Coregonus_clupeiformis",0,"DW3"
"BPLRHO09","Coregonus_clupeiformis",114,"LF1"
"BPLRHO10","Coregonus_clupeiformis",70,"LF2"
"BPLRHO11","Coregonus_clupeiformis",21,"LF3"
"BPLRHO12","Coregonus_clupeiformis",0,"SW1"
"BPLRHO13","Coregonus_clupeiformis",0,"SW2"
"BPLRHO14","Coregonus_clupeiformis",0,"DW1"
"BPLRHO15","Coregonus_clupeiformis",0,"DW2"
"BPLRHO16","Coregonus_clupeiformis",0,"DW3"
"BPLRHO17","Coregonus_clupeiformis",180,"LF1"
"BPLRHO18","Coregonus_clupeiformis",69,"LF2"
"BPLRHO19","Coregonus_clupeiformis",48,"LF3"
"BPLRHO20","Coregonus_clupeiformis",0,"SW1"
"BPLRHO21","Coregonus_clupeiformis",0,"SW2"
"BPLRHO22","Coregonus_clupeiformis",0,"DW1"
"BPLRHO23","Coregonus_clupeiformis",0,"DW2"
"BPLRHO24","Coregonus_clupeiformis",0,"DW3"
"BPLRHO25","Coregonus_clupeiformis",0,"NTC"
"BPLRHO26","Coregonus_clupeiformis",0,"NTC"
"BPLRHO27","Coregonus_clupeiformis",0,"NTC"
"BPLRHO01","Coregonus_artedi_3",0,"LF1"
"BPLRHO02","Coregonus_artedi_3",0,"LF2"
"BPLRHO03","Coregonus_artedi_3",0,"LF3"
"BPLRHO04","Coregonus_artedi_3",0,"SW1"
"BPLRHO05","Coregonus_artedi_3",0,"SW2"
"BPLRHO06","Coregonus_artedi_3",12,"DW1"
"BPLRHO07","Coregonus_artedi_3",26,"DW2"
"BPLRHO08","Coregonus_artedi_3",48,"DW3"
"BPLRHO09","Coregonus_artedi_3",0,"LF1"
"BPLRHO10","Coregonus_artedi_3",0,"LF2"
"BPLRHO11","Coregonus_artedi_3",0,"LF3"
"BPLRHO12","Coregonus_artedi_3",0,"SW1"
"BPLRHO13","Coregonus_artedi_3",0,"SW2"
"BPLRHO14","Coregonus_artedi_3",13,"DW1"
"BPLRHO15","Coregonus_artedi_3",26,"DW2"
"BPLRHO16","Coregonus_artedi_3",28,"DW3"
"BPLRHO17","Coregonus_artedi_3",0,"LF1"
"BPLRHO18","Coregonus_artedi_3",0,"LF2"
"BPLRHO19","Coregonus_artedi_3",0,"LF3"
"BPLRHO20","Coregonus_artedi_3",0,"SW1"
